event_team,assist0,assist1,assist2,assist3,assist4
Troyes,24,15,13,2,5
Lorient,65,80,56,9,13
Mallorca,36,30,27,4,6
Malaga,58,67,50,5,12
Werder Bremen,62,98,38,11,18
Borussia Dortmund,79,150,43,6,22
Sochaux,54,34,42,5,12
Stade de Reims,48,46,36,3,9
Valenciennes,59,41,31,6,9
AC Ajaccio,46,55,38,5,5
Bastia,56,30,42,6,8
Stade Rennes,61,77,49,11,20
VfL Wolfsburg,69,91,67,8,14
VfB Stuttgart,74,77,42,10,9
Nurnberg,35,44,46,2,10
Hamburg SV,50,63,30,9,12
Lille,85,88,54,4,20
Nice,68,66,39,5,9
Mainz,75,76,33,12,11
SC Freiburg,47,64,30,11,13
Juventus,95,107,48,14,40
Parma,85,55,54,4,21
Udinese,86,67,52,7,21
Fiorentina,73,94,57,11,17
Rayo Vallecano,63,66,51,4,11
Real Betis,57,42,30,3,28
SpVgg Greuther Furth,13,16,6,0,1
Bayern Munich,83,175,65,12,11
FC Augsburg,52,62,43,8,7
Fortuna Dusseldorf,18,9,15,3,2
Toulouse,68,64,45,12,12
AS Nancy Lorraine,27,31,30,2,5
Espanyol,55,60,44,14,24
Real Zaragoza,35,17,23,2,7
Borussia Monchengladbach,63,106,32,4,17
TSG Hoffenheim,87,85,33,2,17
Real Sociedad,80,65,57,14,33
Celta Vigo,43,51,30,6,19
Eintracht Frankfurt,53,66,34,9,8
Bayer Leverkusen,74,125,37,12,17
Palermo,42,62,38,10,19
Napoli,98,119,52,6,38
Real Madrid,105,166,85,7,55
Getafe,44,60,49,3,8
Marseille,75,66,76,10,13
Montpellier,95,78,45,6,25
Sevilla,84,80,55,10,27
Granada,59,35,25,4,16
AS Roma,78,96,60,6,34
Catania,59,40,40,11,15
Torino,67,53,48,4,12
Siena,36,15,28,5,9
Cagliari,72,54,38,8,13
Genoa,68,60,48,19,24
AC Milan,109,105,43,9,17
Sampdoria,65,52,23,8,17
Osasuna,37,28,49,9,7
Barcelona,119,191,48,4,67
St Etienne,78,80,59,9,20
Brest,34,28,9,1,7
US Pescara,13,9,7,0,1
Internazionale,74,76,70,15,29
Valencia,90,66,76,11,26
Deportivo La Coruna,41,33,12,5,3
Atalanta,62,47,49,10,11
Lazio,83,82,52,10,16
Bologna,57,36,33,6,15
Chievo Verona,48,51,36,4,18
Real Valladolid,31,36,35,2,7
Levante,64,50,41,7,13
Atletico Madrid,85,79,71,18,16
Athletic Bilbao,58,52,82,7,27
Lyon,93,91,67,6,20
Evian Thonon Gaillard,76,52,48,6,29
Bordeaux,72,72,65,8,11
Schalke 04,69,116,49,4,11
Hannover 96,68,65,44,10,7
Paris Saint-Germain,114,101,72,9,38
Kaiserslautern,10,13,5,1,0
Caen,44,27,21,1,11
Hertha Berlin,44,50,28,2,4
FC Cologne,25,37,10,4,1
AJ Auxerre,20,18,18,3,0
Dijon FCO,20,8,14,2,0
Sporting Gijon,19,14,9,2,3
Racing Santander,6,13,15,1,4
Villarreal,56,64,21,2,17
Novara,21,9,13,4,1
Cesena,30,20,9,6,4
Lecce,20,10,13,2,5
AS Monaco,36,47,30,1,12
Guingamp,26,17,29,3,4
Nantes,24,22,24,2,4
Almeria,34,19,22,0,9
Elche,24,20,20,5,2
Hellas Verona,34,43,28,7,10
Sassuolo,37,31,22,0,7
Livorno,22,13,7,5,3
TSV Eintracht Braunschweig,8,20,5,1,0
Aston Villa,20,23,17,4,3
Hull,30,22,23,3,0
Fulham,12,20,9,1,1
Stoke City,36,29,19,10,6
Sunderland,29,25,20,1,4
Manchester Utd,50,43,23,4,10
Liverpool,64,48,26,1,17
Crystal Palace,33,25,21,3,4
Manchester City,53,69,26,3,21
Everton,34,40,25,4,10
Newcastle,30,33,21,3,1
Cardiff,7,10,12,1,4
West Brom,34,29,22,4,9
Arsenal,34,57,25,7,12
West Ham,26,33,20,9,4
Tottenham,47,42,23,4,2
Chelsea,41,64,20,2,11
Norwich City,9,10,6,1,1
Swansea,30,40,24,0,10
Southampton,32,41,21,9,9
Metz,14,11,5,0,1
Lens,17,8,12,1,0
QPR,15,12,13,4,2
Leicester City,18,13,9,3,1
Burnley,11,12,10,4,1
SC Paderborn,14,13,8,1,1
Eibar,8,12,8,0,1
Cordoba,10,6,5,2,0
Empoli,11,14,14,7,5